Qty	Lot ID	Size	Carat	Lab	Shape	Color	Clarity	Cut	Polish	Symmetry	Fluorescence	Discount	Per Carat Rate	Final Amount	Key To Symbol	Lab Comment
1	1709599	3.00-3.99	3.00	HRD	BR	G	SI2	G	VG	VG	NON	-58.40	3,203.20	9,609.60		
1	445298427	3.00-3.99	3.00	HRD	BR	H	VVS2	EX	EX	EX	NON	-58.00	9,450.00	28,350.00		
1	1709329	3.00-3.99	3.01	HRD	BR	G	SI2	VG	EX	VG	NON	-58.00	6,510.00	19,595.10		
1	1706899	3.00-3.99	3.03	HRD	BR	J	VVS2	EX	EX	EX	NON	-54.00	6,900.00	20,907.00		
1	1696732	3.00-3.99	3.50	HRD	BR	J	SI2	EX	EX	EX	NON	-46.00	5,940.00	20,790.00		
1	900058991	3.00-3.99	3.52	HRD	BR	D	SI2	EX	EX	EX	SLT	-51.00	9,800.00	34,496.00		
1	1709601	3.00-3.99	3.52	HRD	BR	H	VS1	EX	EX	EX	NON	-51.00	10,045.00	35,358.40		
1	900054495	3.00-3.99	3.80	HRD	BR	K	VS1	EX	EX	EX	NON	-46.00	6,480.00	24,624.00		
1	900057220	3.00-3.99	3.02	HRD	HS	H	SI2		EX	VG	SLT	-61.00	5,265.00	15,900.30		
1	1706907	3.00-3.99	3.00	HRD	OV	F	SI2		EX	VG	SLT	-56.00	6,820.00	20,460.00		
1	445568009	0.90-0.99	0.90	HRD	PS	F	SI2		EX	VG	NON	-52.00	1,392.00	1,252.80		
1	445376109	1.00-1.49	1.00	HRD	PS	F	SI2		VG	VG	NON	-58.00	1,470.00	1,470.00		
